index	jar_name	mod_id	mod_name	mod_version
1	neoforge-21.1.248 (modloader)	neoforge	neoforge	neoforge-21.1.248
2	a_good_place-1.21-1.2.5-neoforge.jar	a_good_place	A Good Place	1.21-1.2.5
3	aces_spell_utils-1.2.7.2-1.21.1.jar	aces_spell_utils	Ace's Spell Utils	1.2.7.2-1.21.1
4	acolyte-1.0.3.jar	acolyte	Acolyte	1.0.3
5	additional_attributes-1.21.1-1.2.2.jar	additional_attributes	Additional Attributes	1.2.2
6	AdvancedCoreInfo-neoforge-1.21.1-1.1.0.jar	aci	AdvancedCoreInfo	1.1.0
7	AdvancedLootInfo-neoforge-1.21.1-2.1.0.jar	ali	AdvancedLootInfo	2.1.0
8	AdvancementPlaques-1.21.1-neoforge-1.6.8.jar	advancementplaques	Advancement Plaques	1.6.8
9	aero_additions-1.2.8.jar	aero_additions	SnackPirate's Aeromancy Additions	1.2.8
10	aero_cam_sync-1.4.0.jar	aero_cam_sync	Aeronautics Camera Sync	1.4.0
11	aero_player_tilt-0.1.3.jar	aero_player_tilt	Aeronautics Player Tilt	0.1.3
12	aeroconnectedfluidvessel-1.0.0.jar	aeroconnectedfluidvessel	Create Aero + Connected FluidVessel Compat	1.0.0
13	aerocopycats-1.1.1.jar	aerocopycats	aero_copycats	1.1.0
14	aeronauticscompat-1.1.3.jar	aeronauticscompat	AeronauticsCompat	1.1.3
15	AeroStar-1.0.1.jar	aerostarcomp	AeroStar	1.0.1
16	aeroworks-1.5.0.jar	aeroworks	Create: Aeroworks	1.5.0
17	AI-Improvements-1.21-0.5.3.jar	aiimprovements	AI-Improvements	0.5.3
18	alcubierre-1.2.6.jar	alcubierre	Alcubierre	1.2.6
19	alexscaves-1.0.9-neoforge+1.21.1.jar	alexscaves	Alex's Caves Continued	1.0.9
20	alexsdelight-1.6.jar	alexsdelight	Alexs Delight	1.6
21	alexsmobs-2.1.11-neoforge+1.21.1.jar	alexsmobs	Alex's Mobs Continued	2.1.11
22	almostunified-neoforge-1.21.1-1.4.2.jar	almostunified	AlmostUnified	1.21.1-1.4.2
23	alshanex_familiars-1.21.1_v4.0.3.jar	alshanex_familiars	Alshanex's Familiars Mod	1.21.1_v4.0.3
24	alternate_current-mc1.21-1.9.0.jar	alternate_current	Alternate Current	1.9.0
25	AmbientSounds_NEOFORGE_v6.3.8_mc1.21.1.jar	ambientsounds	AmbientSounds	6.3.8
26	amendments-1.21-2.1.10-neoforge.jar	amendments	Amendments	1.21-2.1.10
27	Amplified_Nether_26.2_v1.2.16.jar	amplified_nether	Amplified Nether	1.2.16
28	AnimalHusbandry-neoforge-0.4.1.jar	animalhusbandry	AnimalHusbandry	0.4.1
29	apokinetics-1.0.6.jar	apokinetics	Apokinetics	1.0.6
30	Apotheosis-1.21.1-8.8.0.jar	apotheosis	Apotheosis	8.8.0
31	apotheoticcreation-2.0.0.jar	apotheoticcreation	Apotheosis/Create Addon	2.0.0
32	apothic_compat-2.0.2.jar	apothic_compat	Apothic Compat	2.0.2
33	apothic_compats-0.2.4.2.jar	apothic_compats	Apothic Compats	0.2.4.2
34	ApothicAttributes-1.21.1-2.10.1.jar	apothic_attributes	Apothic Attributes	2.10.1
35	ApothicEnchanting-1.21.1-1.6.2.jar	apothic_enchanting	Apothic Enchanting	1.6.2
36	ApothicSpawners-1.21.1-1.4.0.jar	apothic_spawners	Apothic Spawners	1.4.0
37	appleskin-neoforge-mc1.21-3.0.9.jar	appleskin	AppleSkin	3.0.9+mc1.21
38	apprentice_codex-0.9.7.1+mc1.21.1.jar	apprenticecodex	Apprentice's Codex	0.9.7.1
39	architectury-13.0.11-neoforge.jar	architectury	Architectury	13.0.11
40	ars_additions-1.21.1-21.3.0.jar	ars_additions	Ars Additions	1.21.1-21.3.0
41	ars_controle-1.21.1-1.6.15.jar	ars_controle	Ars Controle	1.21.1-1.6.15
42	ars_creo-1.21.1-5.4.0.jar	ars_creo	Ars Creo	5.4.0
43	ars_elemancy-1.21.1-1.18.3.jar	ars_elemancy	Ars Elemancy	1.18.3
44	ars_elemental-1.21.1-0.7.10.1.jar	ars_elemental	Ars Elemental	0.7.10.1
45	ars_hex-1.21.1-5.0.4b.jar	ars_hex	Ars Hex	5.0.4b
46	ars_n_spells-3.3.2.jar	ars_n_spells	Ars 'n' Spells	3.3.2
47	ars_nouveau-1.21.1-5.13.1.jar	ars_nouveau	Ars Nouveau	5.13.1
48	ars_polymorphia-1.0.3.jar	ars_polymorphia	Ars Polymorphia	1.0.3
49	ars_sable-1.21.1-1.1.2.jar	ars_sable	Ars Sable	1.1.2
50	ars_technica-1.21.1-2.7.6.jar	ars_technica	Ars Technica	2.7.6
51	ars_two_way_portals-2.0.0.jar	ars_two_way_portals	Ars Nouveau: Two-Way Portals	2.0.0
52	ars_zero-1.21.1-2.0.2.jar	ars_zero	Ars Zero	2.0.2
53	arsdelight-2.2.2.jar	arsdelight	Ars Nouveau's Flavors & Delight	2.2.2
54	arssophisticatedcompat-0.3.0.jar	arssophisticatedcompat	Ars Sophisticated Compatibility	0.3.0
55	artifacts-neoforge-13.2.3.jar	artifacts	Artifacts	13.2.3
56	asterismarcanum-1.21.1-0.1.0.jar	asterismarcanum	Asterism Arcanum	1.21.1-0.1.0
57	athena-neoforge-1.21.1-4.0.6.jar	athena	Athena	4.0.6
58	atlas_api-1.21.1-1.2.0.jar	atlas_api	Atlas API	1.21.1-1.2.0
59	attributefix-neoforge-1.21.1-21.1.3.jar	attributefix	AttributeFix	21.1.3
60	azimuth-1.4.8.jar	azimuth	Azimuth	1.4.8
61	azurelib-neo-1.21.1-3.1.11.jar	azurelib	AzureLib	3.1.11
62	backpack_pixel-1.2.0-neoforge-1.21.1.jar	backpack_pixel	Backpack Pixel	1.2.0
63	backportedspellbooks-0.1.2.jar	backportedspellbooks	Backported Spellbooks	0.1.0
64	balm-neoforge-1.21.1-21.0.65.jar	balm	Balm	21.0.65
65	battle_arts_api-21.17.7-mc1.21.1-neoforge.jar	battle_arts_api	Battle Arts API	21.17.7
66	bclib-21.0.26.jar	bclib	BCLib	21.0.26
67	bellsandwhistles-0.4.7-1.21.1.jar	bellsandwhistles	Create: Bells & Whistles	0.4.7-1.21.1
68	better-advanced-tooltips-2101.1.0-build.5.jar	betteradvancedtooltips	Better Advanced Tooltips	2101.1.0-build.5
69	better_lib-neoforge-1.21.1-1.0.111.jar	better_lib	Better lib	1.0.111
70	better_modlist-21.1.1.jar	mod_menu	Better ModList	21.1.1
71	BetterEnd-21.0.34.jar	betterend	Better End	21.0.34
72	betterfpsdist-1.21.1-6.1.jar	betterfpsdist	betterfpsdist mod	6.1
73	betterlockon-2.0.8-neoforge.jar	betterlockon	Better Lock On	2.0.8-neoforge
74	BetterNether-21.0.26.jar	betternether	Better Nether	21.0.26
75	bigcontraptions-neoforge-1.0.jar	bigcontraptions	Create: Big Contraptions	1.0
76	biolith-neoforge-3.0.14.jar	biolith	Biolith	3.0.14
77	bits_n_bobs-2.3.2.jar	bits_n_bobs	Create Bits 'n' Bobs	2.3.2
78	bjornlib-neoforge-1.0.88-1.21.1.jar	bjornlib	BjornLib	1.0.88
79	block_factorys_bosses-2.1.2-neo-1.21.1.jar	block_factorys_bosses	Bosses'Rise	2.1.2
80	blockui-1.0.211-1.21.1-snapshot.jar	blockui	UI Library Mod	1.0.211-1.21.1-snapshot
81	bloodlines-1.21-3.0.9.jar	bloodlines	Bloodlines	1.21-3.0.9
82	BOMD-NeoForge-1.21-1.3.3.jar	bosses_of_mass_destruction	Bosses of Mass Destruction	1.3.3
83	bookshelf-neoforge-1.21.1-21.1.81.jar	bookshelf	Bookshelf	21.1.81
84	born_in_chaos_[Neoforge]_1.21.1_1.7.6.jar	born_in_chaos_v1	Born in Chaos	1.7.6
85	butchercraft-2.6.5.jar	butchercraft	Butchercraft	2.6.5
86	caelus-neoforge-7.0.1+1.21.1.jar	caelus	Caelus API	7.0.1+1.21.1
87	cataclysm_spellbooks-1.1.13-1.21.jar	cataclysm_spellbooks	Cataclysm: Spellbooks	1.1.13-1.21
88	cataclysmfortresses-1.21.1-NeoForge.jar	cataclysmfortresses	Cataclysm x YUNG's Better Nether Fortresses Compat	1.21.1
89	cbc_at_Neoforge_1.21.1_0.1.4c.jar	cbc_at	CBC Advanced Technology	0.1.4c-1.21.1
90	cbcatfix-1.21.1-neoforge-1.0.1.jar	cbcatfix	CBCAT Fix	1.0.0
91	CerbonsAPI-NeoForge-1.21-1.3.0.jar	cerbons_api	Cerbons API	1.3.0
92	chipped-neoforge-1.21.1-4.0.2.jar	chipped	Chipped	4.0.2
93	Chunky-NeoForge-1.4.23.jar	chunky	Chunky	1.4.23
94	citadel-2.7.1-1.21.1.jar	citadel	Citadel	2.7.1
95	climbable_ropes-2.1.3.jar	climbable_ropes	Climbable Ropes for Create Aeronautics	2.1.3
96	clockwork-neoforge-1.21.1-1.1.4.jar	clockwork	Clockwork	1.1.4
97	cloth-config-15.0.140-neoforge.jar	cloth_config	Cloth Config v15 API	15.0.140
98	Clumps-neoforge-1.21.1-19.0.0.1.jar	clumps	Clumps	19.0.0.1
99	cobweb-neoforge-1.21-1.4.0.jar	cobweb	Cobweb	1.4.0
100	CodeChickenLib-1.21.1-4.6.1.529.jar	codechickenlib	CodeChicken Lib	4.6.1.529
101	codxlib-1.6.0-neoforge+1.21.1.jar	codxlib	CodxLib	1.6.0
102	ColdSweat-2.4.2.jar	cold_sweat	Cold Sweat	2.4.2
103	collective-1.21.1-8.39.jar	collective	Collective	8.39
104	companions-neoforge-1.21.1-1.3.2.jar	companions	Companions!	1.3.2
105	connector-2.0.0-beta.17+1.21.1-full.jar			
106	ConnectorExtras-1.12.1+1.21.1.jar	connectorextras	Connector Extras	1.12.1+1.21.1
107	continuity-3.0.0+1.21.neoforge.jar	continuity	Continuity	3.0.0+1.21.neoforge
108	Controlling-neoforge-1.21.1-19.0.5.jar	controlling	Controlling	19.0.5
109	copycats-3.0.9+mc.1.21.1-neoforge.jar	copycats	Create: Copycats+	3.0.9+mc.1.21.1-neoforge
110	Corgilib-NeoForge-1.21.1-5.0.0.9.jar	corgilib	CorgiLib	5.0.0.9
111	cosmeticarmorreworked-1.21.1-v1-neoforge.jar	cosmeticarmorreworked	CosmeticArmorReworked	1.21.1-v1-neoforge
112	cpm-osc-compat-1.7.2.jar	cpmoscc	CPM OSC Compat	1.7.2
